Date,day,month,year,Customer Age,Customer Gender,data_country,State_encoded,pro_cat_encoded,Sub_Category_encoded,Quantity,Unit Cost,Unit Price,Cost,Revenue,profit
2015-01-01,1,1,2015,19.0,0,,24,2,11,1.0,1000.0,938.0,1000.0,938.0,-62.0
2015-01-02,2,1,2015,27.0,0,,21,2,14,1.0,2071.0,2593.0,2071.0,2593.0,522.0
2015-01-07,7,1,2015,19.0,1,,22,2,11,1.0,1000.0,896.0,1000.0,896.0,-104.0
2015-01-09,9,1,2015,24.0,0,,25,2,14,3.0,690.33,680.666667,2071.0,2042.0,-29.0
2015-01-10,10,1,2015,27.0,1,,24,2,11,2.0,391.5,359.5,783.0,719.0,-64.0
2015-01-14,14,1,2015,32.0,1,,24,2,14,1.0,2049.0,1868.0,2049.0,1868.0,-181.0
2015-01-16,16,1,2015,27.0,0,,21,2,14,2.0,1035.5,1131.0,2071.0,2262.0,191.0
2015-01-25,25,1,2015,24.0,1,,25,2,11,1.0,2443.0,2229.0,2443.0,2229.0,-214.0
2015-02-01,1,2,2015,27.0,1,,24,2,11,2.0,1221.5,989.5,2443.0,1979.0,-464.0
2015-02-01,1,2,2015,24.0,1,,25,2,11,3.0,333.33,313.0,1000.0,939.0,-61.0
2015-02-02,2,2,2015,32.0,0,,22,2,14,1.0,2049.0,1719.0,2049.0,1719.0,-330.0
2015-02-04,4,2,2015,39.0,1,,23,2,11,2.0,1221.5,1186.0,2443.0,2372.0,-71.0
2015-02-06,6,2,2015,34.0,0,,15,2,14,2.0,1024.5,840.5,2049.0,1681.0,-368.0
2015-02-09,9,2,2015,38.0,1,,23,2,14,2.0,1024.5,1049.0,2049.0,2098.0,49.0
2015-02-09,9,2,2015,38.0,0,,25,2,14,1.0,2071.0,2188.0,2071.0,2188.0,117.0
2015-02-14,14,2,2015,36.0,0,,10,2,11,3.0,727.33,816.666667,2182.0,2450.0,268.0
2015-02-14,14,2,2015,24.0,1,,25,2,11,3.0,333.33,301.0,1000.0,903.0,-97.0
2015-02-17,17,2,2015,24.0,0,,25,2,14,2.0,1024.5,962.5,2049.0,1925.0,-124.0
2015-02-19,19,2,2015,24.0,0,,25,2,14,2.0,1024.5,887.0,2049.0,1774.0,-275.0
2015-02-21,21,2,2015,24.0,0,,25,2,14,2.0,1024.5,915.0,2049.0,1830.0,-219.0
2015-03-06,6,3,2015,40.0,1,,15,2,11,1.0,2443.0,2499.0,2443.0,2499.0,56.0
2015-03-06,6,3,2015,53.0,1,,25,2,11,1.0,1000.0,932.0,1000.0,932.0,-68.0
2015-03-07,7,3,2015,26.0,0,,22,2,11,2.0,500.0,461.0,1000.0,922.0,-78.0
2015-03-11,11,3,2015,23.0,1,,7,2,11,2.0,391.5,432.0,783.0,864.0,81.0
2015-03-21,21,3,2015,53.0,1,,25,2,11,3.0,333.33,280.0,1000.0,840.0,-160.0
2015-03-23,23,3,2015,40.0,1,,15,2,14,1.0,2049.0,2271.0,2049.0,2271.0,222.0
2015-03-24,24,3,2015,53.0,1,,25,2,11,3.0,333.33,283.666667,1000.0,851.0,-149.0
2015-03-30,30,3,2015,40.0,1,,15,2,11,2.0,1091.0,827.5,2182.0,1655.0,-527.0
2015-03-31,31,3,2015,35.0,1,,19,2,14,2.0,1035.5,710.0,2071.0,1420.0,-651.0
2015-04-03,3,4,2015,32.0,0,,24,2,11,1.0,2182.0,1863.0,2182.0,1863.0,-319.0
2015-04-04,4,4,2015,45.0,0,,22,2,11,1.0,1000.0,891.0,1000.0,891.0,-109.0
2015-04-05,5,4,2015,45.0,1,,24,2,11,1.0,1000.0,922.0,1000.0,922.0,-78.0
2015-04-08,8,4,2015,39.0,1,,22,2,14,3.0,683.0,707.666667,2049.0,2123.0,74.0
2015-04-09,9,4,2015,32.0,0,,24,2,11,2.0,1091.0,1069.0,2182.0,2138.0,-44.0
2015-04-09,9,4,2015,32.0,0,,24,2,11,2.0,1091.0,993.5,2182.0,1987.0,-195.0
2015-04-10,10,4,2015,36.0,1,,19,2,14,1.0,2049.0,2267.0,2049.0,2267.0,218.0
